ID,Model,SoundID,Origin[0],Origin[1],Origin[2],OriginFacing
224,Cameras\Scry_cam.mdx,0,-153.586,-3450.84,139.331,3.35103
235,Cameras\FlybyOrc.mdx,3760,-603.411,-4193.41,41.092,4.67748
122,Cameras\FlybyNightElf.mdx,3800,10474,813.131,1318.66,3.735
162,Cameras\FlyByGnome.mdx,3841,-5784.35,424.736,426.592,0.925025
1,Cameras\PalantirOfAzora.mdx,0,-9282.42,-3329.66,116.341,4.60767
2,Cameras\FlybyUndead.mdx,3358,1658.58,1662.91,141.234,3.14159
202,Cameras\FlyByTauren.mdx,4122,-2873.26,-266.821,53.9164,3.15905
142,Cameras\FlyByHuman.mdx,3840,-8945.52,-118.786,82.9306,0.191986
182,Cameras\FlyByTroll.mdx,4080,-774.695,-4911.21,19.6127,2.94961
234,Cameras\FlyByDwarf.mdx,3740,-5579.16,-455.776,406.476,4.71239
